architecture,task,accuracy_mean,accuracy_std,perplexity_mean,perplexity_std,train_time_mean,train_time_std,num_params,num_runs,histories
deltanet,mqar_kv64,0.0071875,0.0,450.9019470214844,0.0,91.46320652961731,0.0,1661696,1,"[{'train_loss': [45.431, 15.9595, 12.289, 11.3235, 10.8275, 10.603, 10.3185, 10.141, 9.77, 9.534, 9.199, 9.022, 8.8155, 8.6685, 8.461, 8.3155, 8.2245, 8.0985, 7.96375, 7.90275, 7.71275, 7.67125, 7.65, 7.5135, 7.448, 7.40875, 7.34525, 7.33325, 7.2525, 7.229], 'eval_loss': [17.365, 10.535, 8.825, 7.76, 7.535, 7.16625, 7.70375, 7.2675, 7.15625, 7.0775, 6.86375, 6.6925, 6.66, 6.61375, 6.66, 6.69375, 6.45875, 6.4275, 6.42125, 6.23875, 6.25875, 6.3475, 6.16, 6.3, 6.14875, 6.11625, 6.20125, 6.14125, 6.12125, 6.11125], 'eval_accuracy': [0.0034375, 0.0034375, 0.0034375, 0.00375, 0.0040625, 0.003125, 0.0053125, 0.0015625, 0.00375, 0.0065625, 0.00375, 0.0065625, 0.0025, 0.006875, 0.00375, 0.0028125, 0.00375, 0.0040625, 0.0028125, 0.0040625, 0.0071875, 0.00625, 0.004375, 0.00375, 0.005, 0.0053125, 0.0040625, 0.005625, 0.0084375, 0.0071875], 'eval_perplexity': [34795540.0, 37609.04296875, 6802.189453125, 2344.905029296875, 1872.444091796875, 1294.9796142578125, 2216.645263671875, 1432.9635009765625, 1282.0941162109375, 1185.002197265625, 956.9489135742188, 806.335693359375, 780.5508422851562, 745.2725219726562, 780.5508422851562, 807.3440551757812, 638.2625732421875, 618.6253051757812, 614.77099609375, 512.2178344726562, 522.5653076171875, 571.0631713867188, 473.4280090332031, 544.572021484375, 468.13177490234375, 453.16217041015625, 493.3653869628906, 464.6340637207031, 455.4337158203125, 450.9019470214844]}]"
deltanet,flip_flop,0.0989453125,0.0,10.77118968963623,0.0,82.75236058235168,0.0,1598976,1,"[{'train_loss': [32.5845, 10.573, 8.492, 6.9255, 5.92525, 5.213, 4.141125, 3.449625, 3.117, 2.887375, 2.827625, 2.719875, 2.68975, 2.6725, 2.61025, 2.560875, 2.6, 2.56025, 2.5235, 2.559875, 2.546875, 2.506875, 2.52125, 2.507, 2.50475, 2.483375, 2.466, 2.48775, 2.476875, 2.468], 'eval_loss': [6.9375, 8.2875, 5.96875, 4.165, 4.61625, 4.1575, 3.43875, 2.89875, 2.5425, 2.72125, 2.48625, 2.488125, 2.515, 2.409375, 2.45375, 2.6175, 2.461875, 2.489375, 2.359375, 2.47125, 2.4825, 2.481875, 2.35875, 2.619375, 2.388125, 2.3925, 2.391875, 2.505, 2.42125, 2.376875], 'eval_accuracy': [0.098046875, 0.099609375, 0.0963671875, 0.1000390625, 0.0954296875, 0.100859375, 0.097734375, 0.0994140625, 0.0987109375, 0.1009765625, 0.1036328125, 0.101484375, 0.0984375, 0.0999609375, 0.096640625, 0.0999609375, 0.101484375, 0.09921875, 0.1044921875, 0.1009375, 0.103359375, 0.098671875, 0.1003515625, 0.0989453125, 0.099921875, 0.103984375, 0.1014453125, 0.099453125, 0.0996484375, 0.0989453125], 'eval_perplexity': [1030.1915283203125, 3973.888671875, 391.0166015625, 64.3926773071289, 101.11414337158203, 63.911529541015625, 31.148000717163086, 18.151443481445312, 12.711410522460938, 15.199310302734375, 12.016130447387695, 12.038683891296387, 12.366610527038574, 11.12700366973877, 11.63188362121582, 13.701428413391113, 11.726778030395508, 12.053741455078125, 10.584334373474121, 11.837234497070312, 11.971156120300293, 11.963674545288086, 10.577722549438477, 13.727141380310059, 10.893049240112305, 10.940811157226562, 10.933976173400879, 12.243560791015625, 11.259926795959473, 10.77118968963623]}]"
deltanet,knapsack,0.0,0.0,7824.3828125,0.0,58.263103723526,0.0,2644480,1,"[{'train_loss': [79.046, 60.604, 32.237, 20.092, 16.368, 15.068, 14.502, 14.224, 13.9695, 13.9665, 13.7, 13.2885, 13.3085, 13.285, 12.9565, 13.042, 12.8425, 12.7785, 12.731, 12.9535, 12.582, 12.782, 12.66, 12.6695, 12.4385, 12.427, 12.274, 12.157, 12.183, 12.28], 'eval_loss': [65.22, 37.65, 19.18, 13.03, 12.005, 11.7125, 10.4925, 9.765, 9.8225, 9.5125, 10.21, 9.51, 10.97, 8.975, 9.1275, 9.255, 9.33, 8.9375, 9.345, 8.905, 9.2175, 8.9975, 8.91375, 8.9925, 9.755, 8.46625, 8.3825, 8.94875, 9.055, 8.965], 'eval_accuracy': [0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.0, 0.0, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.0, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.0, 0.005, 0.01, 0.005, 0.005, 0.0, 0.01, 0.0, 0.0], 'eval_perplexity': [2.1119646004312117e+28, 2.244852918832333e+16, 213682176.0, 455886.75, 163570.625, 122088.2734375, 36044.16796875, 17413.48828125, 18444.107421875, 13527.7685546875, 27173.568359375, 13493.9970703125, 58104.609375, 7903.02099609375, 9204.9765625, 10456.7197265625, 11271.130859375, 7612.14306640625, 11441.4755859375, 7368.72314453125, 10071.8505859375, 8082.85498046875, 7433.482421875, 8042.54052734375, 17240.216796875, 4751.6650390625, 4369.9189453125, 7698.25927734375, 8561.240234375, 7824.3828125]}]"
gla,mqar_kv64,0.0015625,0.0,291.29302978515625,0.0,62.43371105194092,0.0,2199296,1,"[{'train_loss': [24.020724281311036, 9.678431343078612, 8.422996238708496, 7.718391868591309, 7.297084381103516, 7.016730419158936, 6.845598472595215, 6.695609104156494, 6.604369785308838, 6.505955848693848, 6.5319418067932125, 6.352312591552734, 6.324043029785156, 6.258045768737793, 6.215999496459961, 6.1516436576843265, 6.155057559967041, 6.105333995819092, 6.068579025268555, 6.056426345825195, 6.031172775268555, 6.026815914154053, 5.977877029418945, 6.0576138572692875, 5.961843650817871, 5.932415325164795, 5.922990242004395, 5.907984130859375, 5.893919639587402, 5.8862160911560055], 'eval_loss': [7.552350883483887, 6.838868484497071, 6.480530471801758, 6.1217373275756835, 6.1499424743652344, 5.971593894958496, 5.952041435241699, 5.909207077026367, 5.9457136917114255, 5.89277774810791, 5.856740531921386, 5.852151718139648, 5.751495399475098, 5.839567832946777, 5.735990867614746, 5.760887603759766, 5.705359172821045, 5.743829040527344, 5.793314514160156, 5.700957260131836, 5.692099132537842, 5.682401180267334, 5.722523975372314, 5.747087879180908, 5.686390151977539, 5.684206237792969, 5.6873993301391605, 5.6631982421875, 5.651136856079102, 5.674329833984375], 'eval_accuracy': [0.00375, 0.0034375, 0.005625, 0.0028125, 0.0021875, 0.0021875, 0.0025, 0.0028125, 0.0028125, 0.004375, 0.0053125, 0.00375, 0.0034375, 0.0034375, 0.0053125, 0.005, 0.00375, 0.005, 0.0059375, 0.0046875, 0.0034375, 0.0028125, 0.0028125, 0.0053125, 0.0046875, 0.003125, 0.004375, 0.005625, 0.0028125, 0.0015625], 'eval_perplexity': [1905.2166748046875, 933.4324951171875, 652.3167724609375, 455.65570068359375, 468.6903991699219, 392.13018798828125, 384.5376281738281, 368.4138488769531, 382.1119079589844, 362.41064453125, 349.58282470703125, 347.9823913574219, 314.66082763671875, 343.6307373046875, 309.8198547363281, 317.630126953125, 300.47332763671875, 312.2578430175781, 328.09869384765625, 299.1536560058594, 296.515380859375, 293.6536865234375, 305.675537109375, 313.2770690917969, 294.8273620605469, 294.1841735839844, 295.1251220703125, 288.06854248046875, 284.6148681640625, 291.29302978515625]}]"
gla,flip_flop,0.1000390625,0.0,10.157211303710938,0.0,51.71731781959534,0.0,2136576,1,"[{'train_loss': [18.782179149627687, 3.2341388626098633, 2.5991916160583495, 2.5220109729766844, 2.461876434326172, 2.444515474319458, 2.4220212593078614, 2.411149932861328, 2.4023491497039795, 2.388537601470947, 2.395616437911987, 2.380378890991211, 2.3769963073730467, 2.370366901397705, 2.3665880470275877, 2.36263977432251, 2.358282829284668, 2.355245952606201, 2.352789482116699, 2.352534257888794, 2.3544249839782716, 2.3498734493255613, 2.3481890277862547, 2.3484270877838136, 2.344964151382446, 2.3437560005187987, 2.3444472312927247, 2.3394321212768556, 2.3427916259765627, 2.338925340652466], 'eval_loss': [4.8175392341613765, 2.4302407836914064, 2.39282133102417, 2.487494583129883, 2.353120040893555, 2.3451105308532716, 2.3729715061187746, 2.3843876838684084, 2.3531312465667726, 2.335103740692139, 2.339606285095215, 2.3608551120758055, 2.325380868911743, 2.3576676559448244, 2.3366294956207274, 2.324503002166748, 2.337489433288574, 2.326346836090088, 2.324216251373291, 2.342824935913086, 2.358375835418701, 2.321677312850952, 2.3212023067474363, 2.3241702270507814, 2.3145935916900635, 2.342880229949951, 2.3095771980285646, 2.3221810054779053, 2.3267638969421385, 2.318183813095093], 'eval_accuracy': [0.0975, 0.1046484375, 0.1016015625, 0.0965234375, 0.1051171875, 0.0991796875, 0.1026953125, 0.1073046875, 0.1108984375, 0.0986328125, 0.109609375, 0.0974609375, 0.1018359375, 0.101796875, 0.098984375, 0.099609375, 0.1002734375, 0.0975, 0.10578125, 0.1037890625, 0.1017578125, 0.1045703125, 0.1009375, 0.099140625, 0.0986328125, 0.1066015625, 0.1045703125, 0.100859375, 0.096015625, 0.1000390625], 'eval_perplexity': [123.66041564941406, 11.361618041992188, 10.944327354431152, 12.03109359741211, 10.518336296081543, 10.43442440032959, 10.729227066040039, 10.852416038513184, 10.518454551696777, 10.33053207397461, 10.377150535583496, 10.600011825561523, 10.230575561523438, 10.566278457641602, 10.346303939819336, 10.221597671508789, 10.355205535888672, 10.240463256835938, 10.218668937683105, 10.410604476928711, 10.573763847351074, 10.192755699157715, 10.187915802001953, 10.218196868896484, 10.120808601379395, 10.41118049621582, 10.07016658782959, 10.197891235351562, 10.244734764099121, 10.157211303710938]}]"
gla,knapsack,0.005,0.0,666.6365356445312,0.0,34.63734173774719,0.0,3182080,1,"[{'train_loss': [33.504950134277344, 19.05536248779297, 15.660132446289062, 13.9350185546875, 12.849380142211913, 12.141428520202636, 11.568884544372558, 10.912422859191894, 10.43169588470459, 10.205421188354492, 9.711218963623047, 9.639778831481934, 9.082803840637206, 9.096978881835938, 8.753553802490234, 8.997175949096679, 8.513579948425292, 8.582198356628417, 8.265209743499756, 8.327689506530762, 8.086348762512207, 8.01455710220337, 7.981506065368652, 7.923281288146972, 7.755075950622558, 7.69505277633667, 7.566237701416016, 7.422179489135742, 7.58072513961792, 7.42716340637207], 'eval_loss': [17.723356552124024, 12.963361358642578, 12.307050743103026, 11.051958541870118, 10.025166015625, 9.153714904785156, 8.36289192199707, 8.146948852539062, 8.115083541870117, 7.679321441650391, 7.902940139770508, 7.201046752929687, 7.466466751098633, 7.190828552246094, 7.324694557189941, 6.902215995788574, 7.023511924743652, 6.682175617218018, 6.737565002441406, 6.642847652435303, 6.395994510650635, 6.478638877868653, 6.7599554443359375, 6.31688081741333, 6.431776351928711, 6.536646118164063, 6.427141590118408, 6.520385093688965, 6.10037654876709, 6.502244720458984], 'eval_accuracy': [0.0, 0.0, 0.0, 0.0, 0.005, 0.005, 0.0, 0.0, 0.01, 0.01, 0.01, 0.005, 0.0, 0.01, 0.01, 0.0, 0.0, 0.0, 0.01, 0.005, 0.01, 0.005, 0.01, 0.005, 0.01, 0.01, 0.0, 0.005, 0.005, 0.005], 'eval_perplexity': [49791568.0, 426497.46875, 221250.46875, 63067.32421875, 22587.80859375, 9449.4814453125, 4285.06982421875, 3452.827880859375, 3344.53759765625, 2163.151123046875, 2705.224853515625, 1340.8338623046875, 1748.41845703125, 1327.2021484375, 1517.310546875, 994.4760131835938, 1122.7225341796875, 798.0535278320312, 843.5043334960938, 767.2767333984375, 599.4392700195312, 651.083984375, 862.6036987304688, 553.8427124023438, 621.2766723632812, 689.9684448242188, 618.40380859375, 678.83984375, 446.0257263183594, 666.6365356445312]}]"
gru,mqar_kv64,0.0025,0.0,262.5013427734375,0.0,41.96951913833618,0.0,1644800,1,"[{'train_loss': [5.782155078887939, 5.685960723876953, 5.655903556823731, 5.638802268981934, 5.626868232727051, 5.622573196411133, 5.611560134887696, 5.607366325378418, 5.602738899230957, 5.593365310668945, 5.595855037689209, 5.584998649597168, 5.583712532043457, 5.584773323059082, 5.58253120803833, 5.57772172164917, 5.5788631324768065, 5.575212791442871, 5.573485698699951, 5.57627827835083, 5.570899215698242, 5.572521484375, 5.571376861572266, 5.570611312866211, 5.568962596893311, 5.5666833572387695, 5.566998558044434, 5.5686689453125, 5.5668549041748046, 5.564596282958984], 'eval_loss': [5.697224845886231, 5.646788177490234, 5.633159236907959, 5.625381698608399, 5.614998779296875, 5.6057758712768555, 5.642435607910156, 5.604760818481445, 5.591626434326172, 5.595517349243164, 5.5919460105895995, 5.581347579956055, 5.592474365234375, 5.5817821502685545, 5.589867782592774, 5.5805451202392575, 5.570567111968995, 5.578689765930176, 5.578363571166992, 5.572917785644531, 5.575874252319336, 5.57131664276123, 5.567171611785889, 5.574971847534179, 5.5661314010620115, 5.567117214202881, 5.561055145263672, 5.5638777542114255, 5.5703444671630855, 5.570256004333496], 'eval_accuracy': [0.0040625, 0.00375, 0.0053125, 0.0025, 0.003125, 0.0034375, 0.00375, 0.0034375, 0.003125, 0.00375, 0.003125, 0.001875, 0.004375, 0.005, 0.0009375, 0.003125, 0.0040625, 0.0059375, 0.003125, 0.0040625, 0.004375, 0.003125, 0.00375, 0.0021875, 0.0053125, 0.00375, 0.004375, 0.0034375, 0.00375, 0.0025], 'eval_perplexity': [298.0390930175781, 283.37982177734375, 279.5438537597656, 277.3780822753906, 274.5130615234375, 271.99285888671875, 282.1490783691406, 271.7168884277344, 268.1714782714844, 269.2168273925781, 268.2571716308594, 265.42901611328125, 268.3989562988281, 265.5444641113281, 267.7001647949219, 265.2160949707031, 262.5829772949219, 264.7244873046875, 264.6381530761719, 263.20098876953125, 263.9802551269531, 262.7798767089844, 261.69287109375, 263.7420959472656, 261.4208679199219, 261.67864990234375, 260.0971374511719, 260.832275390625, 262.5245056152344, 262.5013427734375]}]"
gru,flip_flop,0.104921875,0.0,10.02173900604248,0.0,71.56806302070618,0.0,1582080,1,"[{'train_loss': [2.518847637176514, 2.3157341442108152, 2.3122281341552733, 2.310387191772461, 2.3080983200073244, 2.3072693901062014, 2.307043933868408, 2.308838851928711, 2.307329193115234, 2.3065299911499024, 2.307511791229248, 2.3063588180541994, 2.3060877380371094, 2.3051258201599123, 2.306097509384155, 2.305805549621582, 2.3060893535614015, 2.305452302932739, 2.3049473686218263, 2.304784034729004, 2.3052143898010256, 2.3060404510498045, 2.3050627002716064, 2.3050761432647704, 2.3051738758087157, 2.305011215209961, 2.3043450813293456, 2.304963047027588, 2.3048098888397215, 2.304668628692627], 'eval_loss': [2.3130461502075197, 2.3164938259124757, 2.3075439071655275, 2.306554841995239, 2.3062816429138184, 2.3073647308349607, 2.3056139945983887, 2.30721378326416, 2.305218105316162, 2.3078236961364746, 2.3058591079711914, 2.304059600830078, 2.3078204345703126, 2.304987735748291, 2.3045568370819094, 2.3058172702789306, 2.3066681098937987, 2.304768829345703, 2.304636392593384, 2.3043672370910646, 2.306427927017212, 2.3035958099365232, 2.304802055358887, 2.3064024353027346, 2.306841459274292, 2.3051279640197753, 2.306408500671387, 2.304436264038086, 2.304125986099243, 2.304756660461426], 'eval_accuracy': [0.104609375, 0.0975390625, 0.0980078125, 0.1089453125, 0.100546875, 0.097890625, 0.1028515625, 0.1065234375, 0.10453125, 0.094375, 0.10390625, 0.1034765625, 0.1032421875, 0.100703125, 0.1026171875, 0.103125, 0.0974609375, 0.0980078125, 0.09765625, 0.0998828125, 0.099140625, 0.1035546875, 0.1051953125, 0.1003515625, 0.0991015625, 0.1022265625, 0.09546875, 0.1054296875, 0.10578125, 0.104921875], 'eval_perplexity': [10.1051607131958, 10.140058517456055, 10.049712181091309, 10.039775848388672, 10.037033081054688, 10.047910690307617, 10.03033447265625, 10.046394348144531, 10.026366233825684, 10.052522659301758, 10.032793998718262, 10.014755249023438, 10.052489280700684, 10.024054527282715, 10.019737243652344, 10.03237533569336, 10.040912628173828, 10.02186107635498, 10.02053451538086, 10.017838478088379, 10.03850269317627, 10.010111808776855, 10.02219295501709, 10.038246154785156, 10.04265308380127, 10.025460243225098, 10.03830623626709, 10.01852798461914, 10.015420913696289, 10.02173900604248]}]"
gru,knapsack,0.005,0.0,332.9898986816406,0.0,22.5989773273468,0.0,2627584,1,"[{'train_loss': [8.71198447418213, 8.083690612792969, 7.529414039611816, 7.085492820739746, 6.774445304870605, 6.617231746673584, 6.5467056427001955, 6.470878719329834, 6.451018447875977, 6.34036882019043, 6.318285404205322, 6.27922668838501, 6.207702262878418, 6.23670068359375, 6.206666751861572, 6.219830711364746, 6.108461212158203, 6.144205383300781, 6.126988693237305, 6.03681273651123, 6.016591255187988, 5.993613910675049, 6.023430374145508, 5.983501052856445, 5.951143268585205, 5.973987632751465, 5.909275604248047, 5.830601764678955, 5.853216026306153, 5.842687454223633], 'eval_loss': [8.499719543457031, 7.552126007080078, 7.2173014259338375, 7.084313278198242, 6.712904357910157, 6.5411491966247555, 6.538756580352783, 6.507947731018066, 6.304873580932617, 6.388211040496826, 6.282597160339355, 6.389996757507324, 6.262157001495361, 6.277391109466553, 6.298950023651123, 6.200755977630616, 6.098793792724609, 6.090829086303711, 6.136627140045166, 6.0338136672973635, 6.047527160644531, 5.933357200622559, 6.042205543518066, 5.975632667541504, 5.924194221496582, 5.945215015411377, 5.749056930541992, 6.051492691040039, 5.757063579559326, 5.808111953735351], 'eval_accuracy': [0.0, 0.0, 0.01, 0.0, 0.0, 0.005, 0.0, 0.0, 0.005, 0.01, 0.0, 0.005, 0.0, 0.0, 0.0, 0.005, 0.01, 0.015, 0.0, 0.015, 0.005, 0.005, 0.005, 0.01, 0.01, 0.01, 0.01, 0.0, 0.015, 0.005], 'eval_perplexity': [4913.39111328125, 1904.787841796875, 1362.806396484375, 1193.103759765625, 822.9573974609375, 693.0825805664062, 691.4261474609375, 670.44921875, 547.2323608398438, 594.7916870117188, 535.1767578125, 595.8544921875, 524.3486938476562, 532.3978271484375, 544.00048828125, 493.1217346191406, 445.32037353515625, 441.7874450683594, 462.4910583496094, 417.3033752441406, 423.06561279296875, 377.4194641113281, 420.820068359375, 393.71710205078125, 373.9770202636719, 381.9215393066406, 313.89447021484375, 424.74658203125, 316.4177551269531, 332.9898986816406]}]"
lstm,mqar_kv64,0.0028125,0.0,257.8349304199219,0.0,43.368942737579346,0.0,2171136,1,"[{'train_loss': [5.5771709823608395, 5.560180171966553, 5.559493453979492, 5.557337162017823, 5.55694543838501, 5.554848133087158, 5.554605258941651, 5.553576198577881, 5.5547848968505855, 5.554207801818848, 5.552149559020996, 5.551664672851563, 5.552643852233887, 5.551837692260742, 5.55181559753418, 5.549821807861328, 5.551386539459228, 5.55155126953125, 5.550966361999512, 5.551657897949219, 5.5502360229492185, 5.551498817443847, 5.549708068847656, 5.550289093017578, 5.549546222686768, 5.549971061706543, 5.549384864807129, 5.550679977416992, 5.5491996688842775, 5.549145561218261], 'eval_loss': [5.558662586212158, 5.556800537109375, 5.555622138977051, 5.5552964019775395, 5.554103736877441, 5.555466232299804, 5.555177268981933, 5.552541065216064, 5.550747108459473, 5.5512873077392575, 5.55336296081543, 5.5514567184448245, 5.55190486907959, 5.553860397338867, 5.551299152374267, 5.553363475799561, 5.551375160217285, 5.549936695098877, 5.550911331176758, 5.552970733642578, 5.551180171966553, 5.548657073974609, 5.5498207092285154, 5.552232818603516, 5.545439491271972, 5.555511207580566, 5.551749229431152, 5.548967628479004, 5.549251747131348, 5.552319679260254], 'eval_accuracy': [0.005, 0.0040625, 0.0028125, 0.003125, 0.004375, 0.00375, 0.0025, 0.003125, 0.0040625, 0.0059375, 0.0021875, 0.0028125, 0.0021875, 0.005625, 0.005, 0.00375, 0.0046875, 0.001875, 0.00375, 0.0034375, 0.00375, 0.0040625, 0.0053125, 0.00375, 0.0034375, 0.0046875, 0.00375, 0.0028125, 0.0040625, 0.0028125], 'eval_perplexity': [259.47552490234375, 258.9928283691406, 258.6878356933594, 258.6036071777344, 258.2953796386719, 258.64752197265625, 258.5727844238281, 257.89208984375, 257.42974853515625, 257.5688781738281, 258.10406494140625, 257.61260986328125, 257.72796630859375, 258.2324523925781, 257.57196044921875, 258.10418701171875, 257.59161376953125, 257.2212829589844, 257.47210693359375, 258.0029296875, 257.5413818359375, 256.8923034667969, 257.1914978027344, 257.8125305175781, 256.067138671875, 258.65911865234375, 257.68792724609375, 256.97216796875, 257.04510498046875, 257.8349304199219]}]"
